后缀                     Suffixes
煎蛋卷                     Omelet
英俊                     Handsome
讨论                     discussed
处方                     Prescription
类似                     Similar
一瞥                     Glimpse
收据                     Receipt
陆军中尉                     Lieutenant
补救                     Remedy
滑车                     Tackle
勇敢                     Courageous
餐厅                     Restaurant
游客                     Tourist
执行                     Enforce
豹                     Leopard
附近                     Vicinity
主管                     Responsible
癔症                     Hysterical
残骸                     Wreckage
起诉书                     Indictment
部署                     Dispose
迫使                     Compel
庄严                     Solemn
麾                     Rejoice
调查                     investigate
多数                     Majority
诚挚                     Sincerely
代表                     representative
讨价还价                     Bargain
成功                     Succeeded
疑                     Doubtful
干扰                     interfere
反对                     Opposed
被告                     Defendant
                      Disinguished
假设                     Assuming
平庸                     Mediocre
有礼貌                     Courteous
